method, origin, count
mock,org.mockito.Mockito,577
thenReturn,org.mockito.stubbing.OngoingStubbing<java.lang.Integer>,154
when,org.mockito.Mockito,445
getArguments,org.mockito.invocation.InvocationOnMock,1
forClass,org.mockito.ArgumentCaptor,37
any,org.mockito.Matchers,403
doThrow,org.mockito.Mockito,6

MockedObjects: ,577

# of Mocked objects each file:,4|1|16|12|20|8|2|2|2|2|2|2|3|12|2|4|2|2|2|2|2|1|8|7|2|4|1|2|8|1|6|1|23|5|4|3|1|3|12|2|4|2|1|13|7|1|7|4|2|1|1|8|10|2|6|22|16|21|3|1|18|1|5|16|1|12|2|62|5|34|1|19|19|1|12|6|33|
